t,Result
0,0
0.5,9.47643310637e-12
1,2.84435768246e-09
1.5,6.09635464172e-08
2,4.63402701739e-07
2.5,2.03846385533e-06
3,6.38562773263e-06
3.5,1.5897076483e-05
4,3.36053982428e-05
4.5,6.3016597673e-05
5,0.000108123570819
5.5,0.00017377544398
6,0.000266511352916
6.5,0.000395852588589
7,0.000575908281863
7.5,0.000827027699737
8,0.00117717035821
8.5,0.00166268448086
9,0.00232827798632
9.5,0.00322610503005
10,0.00441403738477
10.5,0.00595331039077
11,0.00790580731243
11.5,0.0103312679257
12,0.01328468341
12.5,0.0168140837912
13,0.0209588522145
13.5,0.0257486265974
14,0.0312027843345
14.5,0.0373304559108
15,0.0441309806827
15.5,0.051594701855
16,0.0597039950597
16.5,0.0684344323258
17,0.0777559969575
17.5,0.0876342816979
18,0.0980316200255
18.5,0.108908116762
19,0.120222558295
19.5,0.13193319416
20,0.143998390397
20.5,0.156377161218
21,0.169029589438
21.5,0.181917148283
22,0.195002937965
22.5,0.20825185026
23,0.22163067353
23.5,0.235108149412
24,0.248654991077
24.5,0.262243871501
25,0.275849388891
25.5,0.28944801511
26,0.303018031887
26.5,0.316539458606
27,0.329993974688
27.5,0.343364838888
28,0.356636807314
28.5,0.369796051499
29,0.382830077541
29.5,0.395727647031
30,0.408478700285
30.5,0.421074282236
31,0.433506471204
31.5,0.445768310684
32,0.457853744214
32.5,0.469757553331
33,0.481475298586
33.5,0.493003263577
34,0.50433840191
34.5,0.515478287013
35,0.526421064706
35.5,0.537165408428
36,0.547710477018
36.5,0.55805587494
37,0.568201614859
37.5,0.57814808246
38,0.587896003406
38.5,0.597446412341
39,0.60680062384
39.5,0.615960205214
40,0.624926951072
40.5,0.633702859569
41,0.642290110231
41.5,0.650691043302
42,0.65890814051
42.5,0.666944007198
43,0.674801355722
43.5,0.682482990078
44,0.689991791663
44.5,0.697330706114
45,0.704502731177
45.5,0.711510905525
46,0.718358298487
46.5,0.725048000624
47,0.731583115101
47.5,0.737966749815
48,0.744202010221
48.5,0.75029199282
49,0.756239779259
49.5,0.762048431014
50,0.767720984602
50.5,0.773260447306
