t,Result
0,0
0.5,3.7351611566e-41
1,1.70849254867e-32
1.5,7.90457494628e-28
2,9.94485028516e-25
2.5,1.96852696324e-22
3,1.40237306659e-20
3.5,5.24360095394e-19
4,1.19817465943e-17
4.5,1.81673944174e-16
5,1.95502159012e-15
5.5,1.5825161325e-14
6,1.01113884712e-13
6.5,5.30154845196e-13
7,2.35291209101e-12
7.5,9.06205741268e-12
8,3.09025839455e-11
8.5,9.48476130168e-11
9,2.65571451713e-10
9.5,6.86010656202e-10
10,1.65029191108e-09
10.5,3.72672372245e-09
11,7.95382479057e-09
11.5,1.61374900645e-08
12,3.12818079584e-08
12.5,5.81891913421e-08
13,1.04266920396e-07
13.5,1.80576621638e-07
14,3.03160513357e-07
14.5,4.94673508175e-07
15,7.86343716812e-07
15.5,1.22027590585e-06
16,1.85210346664e-06
16.5,2.75398492305e-06
17,4.0179314026e-06
17.5,5.75944223511e-06
18,8.12141727773e-06
18.5,1.12783069692e-05
19,1.5440454686e-05
19.5,2.08585808265e-05
20,2.78283542396e-05
20.5,3.66949941297e-05
21,4.78578443693e-05
21.5,6.17748621337e-05
22,7.89669638413e-05
22.5,0.000100022173407
23,0.000125599520664
23.5,0.000156432641357
24,0.000193333034201
24.5,0.000237192935046
25,0.000288987773063
25.5,0.000349778178916
26,0.000420711520112
26.5,0.000503022943932
27,0.000598035913556
27.5,0.000707162228054
28,0.000831901521863
28.5,0.000973840244067
29,0.00113465012226
29.5,0.00131608611998
30,0.00151998390054
30.5,0.00174825681368
31,0.00200289242472
31.5,0.00228594860869
32,0.00259954923447
32.5,0.00294587946644
33,0.00332718071242
33.5,0.00374574524898
34,0.00420391055572
34.5,0.00470405339153
35,0.00524858364621
35.5,0.00583993800129
36,0.00648057343385
36.5,0.00717296059734
37,0.00791957711242
37.5,0.00872290080103
38,0.00958540289541
38.5,0.0105095412535
39,0.0114977536104
39.5,0.0125524508955
40,0.0136760106414
40.5,0.0148707705129
41,0.0161390219784
41.5,0.0174830041484
42,0.0189048978021
42.5,0.0204068196215
43,0.0219908166519
43.5,0.0236588610048
44,0.0254128448183
44.5,0.027254575487
45,0.0291857711754
45.5,0.0312080566214
46,0.0333229592409
46.5,0.0355319055381
47,0.0378362178281
47.5,0.0402371112751
48,0.0427356912476
48.5,0.0453329509931
49,0.0480297696305
49.5,0.0508269104601
50,0.0537250195871
50.5,0.0567246248554
51,0.0598261350878
51.5,0.0630298396254
52,0.0663359081607
52.5,0.0697443908563
53,0.0732552187424
53.5,0.0768682043821
54,0.0805830427982
54.5,0.0843993126486
55,0.0883164776423
55.5,0.092333888184
56,0.0964507832372
56.5,0.100666292393
57,0.104979438137
57.5,0.109389138295
58,0.113894208653
58.5,0.118493365741
59,0.123185229758
59.5,0.127968327635
60,0.132841096228
60.5,0.137801885616
61,0.142848962506
61.5,0.147980513725
62,0.153194649788
62.5,0.158489408542
63,0.163862758861
63.5,0.169312604387
64,0.174836787307
64.5,0.180433092165
65,0.186099249681
65.5,0.191832940582
66,0.197631799434
66.5,0.203493418461
67,0.209415351353
67.5,0.215395117039
68,0.221430203442
68.5,0.227518071177
69,0.233656157223
69.5,0.239841878526
70,0.246072635556
70.5,0.252345815794
71,0.258658797156
71.5,0.265008951341
72,0.271393647106
72.5,0.277810253453
73,0.28425614274
73.5,0.290728693703
74,0.297225294378
74.5,0.303743344945
75,0.310280260467
75.5,0.316833473535
76,0.323400436813
76.5,0.329978625483
77,0.336565539594
77.5,0.343158706302
78,0.349755682012
78.5,0.356354054415
79,0.362951444427
79.5,0.36954550802
80,0.376133937955
80.5,0.38271446541
81,0.389284861511
81.5,0.395842938763
82,0.402386552376
82.5,0.408913601504
83,0.415422030383
83.5,0.421909829369
84,0.428375035896
84.5,0.434815735329
85,0.441230061742
85.5,0.447616198596
86,0.453972379341
86.5,0.460296887933
87,0.466588059266
87.5,0.472844279533
88,0.479063986505
88.5,0.485245669742
89,0.491387870723
89.5,0.497489182921
90,0.503548251798
90.5,0.509563774746
91,0.515534500962
91.5,0.521459231267
92,0.52733681786
92.5,0.533166164032
93,0.538946223819
93.5,0.544676001605
94,0.550354551684
94.5,0.555980977777
95,0.561554432501
95.5,0.567074116804
96,0.572539279365
96.5,0.577949215953
97,0.583303268755
97.5,0.588600825676
98,0.593841319612
98.5,0.599024227688
99,0.604149070482
99.5,0.609215411224
100,0.614222854968
100.5,0.619171047756
101,0.62405967576
101.5,0.628888464406
102,0.633657177495
102.5,0.638365616302
103,0.643013618671
103.5,0.647601058104
104,0.652127842837
104.5,0.656593914916
105,0.660999249266
105.5,0.665343852761
106,0.669627763292
106.5,0.673851048831
107,0.678013806504
107.5,0.682116161657
108,0.686158266936
108.5,0.690140301363
109,0.694062469421
109.5,0.697925000146
110,0.701728146226
110.5,0.705472183105
111,0.709157408102
111.5,0.712784139534
112,0.71635271585
112.5,0.719863494782
113,0.723316852496
113.5,0.726713182769
114,0.730052896165
114.5,0.733336419235
115,0.736564193723
115.5,0.73973667579
116,0.74285433525
116.5,0.745917654821
117,0.748927129393
117.5,0.751883265306
118,0.754786579647
118.5,0.757637599566
119,0.760436861595
119.5,0.763184910999
120,0.765882301129
120.5,0.7685295928
121,0.77112735368
121.5,0.773676157697
122,0.776176584459
122.5,0.778629218699
123,0.78103464972
123.5,0.783393470873
124,0.785706279039
124.5,0.787973674132
125,0.790196258615
125.5,0.792374637035
126,0.794509415566
126.5,0.79660120158
127,0.798650603218
127.5,0.800658228986
128,0.802624687366
128.5,0.804550586431
129,0.806436533487
129.5,0.808283134723
130,0.810090994873
130.5,0.811860716896
131,0.813592901667
131.5,0.815288147682
132,0.816947050774
132.5,0.818570203844
133,0.820158196605
133.5,0.821711615333
134,0.823231042639
134.5,0.82471705724
135,0.826170233756
135.5,0.827591142505
136,0.828980349319
136.5,0.830338415362
137,0.831665896964
137.5,0.832963345466
138,0.834231307068
138.5,0.835470322692
139,0.836680927856
139.5,0.83786365255
140,0.839019021125
