t,Result
0,0
0.5,2.81708609215e-22
1,4.22964632213e-17
1.5,2.31919262071e-14
2,1.46196282456e-12
2.5,2.69640317434e-11
3,2.33538074354e-10
3.5,1.24191997253e-09
4,4.78421564183e-09
4.5,1.49358226079e-08
5,4.09422390323e-08
5.5,1.0397116707e-07
6,2.51444262496e-07
6.5,5.83074594688e-07
7,1.2916986455e-06
7.5,2.71938408494e-06
8,5.4257425743e-06
8.5,1.02619213939e-05
9,1.84414053378e-05
9.5,3.15981532542e-05
10,5.18237988386e-05
10.5,8.16782661525e-05
11,0.00012417152099
11.5,0.000182717592895
12,0.000261064886139
12.5,0.000363208800673
13,0.000493293687774
13.5,0.000655511240579
14,0.0008540017588
14.5,0.00109276357484
15,0.00137557452881
15.5,0.00170592793952
16,0.00208698418991
16.5,0.00252153792446
17,0.00301199998808
17.5,0.00356039262679
18,0.00416835609892
18.5,0.0048371646753
19,0.00556774999431
19.5,0.00636072983951
20,0.00721644058553
20.5,0.00813497177817
21,0.00911620155299
21.5,0.0101598318332
22,0.0112654224706
22.5,0.0124324236946
23,0.01366020641
23.5,0.0149480900334
24,0.0162953676813
24.5,0.0177013286233
25,0.0191652779911
25.5,0.0206865537952
26,0.0222645413465
26.5,0.0238986852102
27,0.0255884988435
27.5,0.0273335720816
28,0.029133576642
28.5,0.0309882698239
29,0.032897496572
29.5,0.0348611900756
30,0.0368793710646
30.5,0.0389521459573
31,0.0410797040059
31.5,0.0432623135792
32,0.0455003177092
32.5,0.0477941290219
33,0.050144224162
33.5,0.0525511378132
34,0.0550154564067
34.5,0.0575378116017
35,0.0601188736155
35.5,0.0627593444704
36,0.0654599512214
36.5,0.0682214392178
37,0.0710445654497
37.5,0.0739300920202
38,0.076878779783
38.5,0.0798913821764
39,0.0829686392825
39.5,0.086111272135
40,0.0893199772944
40.5,0.0925954217077
41,0.0959382378636
41.5,0.0993490192547
42,0.102828316151
42.5,0.106376631692
43,0.109994418293
43.5,0.113682074379
44,0.117439941424
44.5,0.12126830131
45,0.125167373998
45.5,0.129137315489
46,0.133178216093
46.5,0.137290098976
47,0.141472918987
47.5,0.145726561755
48,0.150050843041
48.5,0.154445508336
49,0.158910232702
49.5,0.163444620828
50,0.16804820731
50.5,0.172720457123
51,0.177460766287
51.5,0.182268462721
52,0.187142807247
52.5,0.192082994765
53,0.197088155567
53.5,0.202157356783
54,0.207289603957
54.5,0.212483842728
55,0.217738960623
55.5,0.223053788928
56,0.228427104664
56.5,0.233857632613
57,0.239344047427
57.5,0.244884975789
58,0.250478998613
58.5,0.256124653299
59,0.261820436013
59.5,0.267564803989
60,0.273356177861
60.5,0.279192943998
61,0.285073456849
61.5,0.290996041289
62,0.296958994962
62.5,0.302960590608
63,0.308999078384
63.5,0.315072688156
64,0.32117963178
64.5,0.327318105342
65,0.333486291381
65.5,0.339682361065
66,0.34590447634
66.5,0.352150792034
67,0.358419457921
67.5,0.364708620737
68,0.371016426151
68.5,0.377341020689
69,0.383680553606
69.5,0.390033178702
70,0.396397056094
70.5,0.402770353924
71,0.409151250017
71.5,0.415537933484
72,0.421928606264
72.5,0.428321484612
73,0.434714800527
73.5,0.441106803126
74,0.447495759959
74.5,0.453879958261
75,0.460257706153
75.5,0.466627333786
76,0.472987194418
76.5,0.479335665449
77,0.485671149387
77.5,0.491992074767
78,0.498296897007
78.5,0.504584099222
79,0.510852192967
79.5,0.517099718945
80,0.523325247654
80.5,0.529527379982
81,0.535704747754
81.5,0.541856014236
82,0.547979874582
82.5,0.554075056237
83,0.560140319301
83.5,0.566174456836
84,0.572176295142
84.5,0.578144693982
85,0.58407854677
85.5,0.58997678072
86,0.595838356952
86.5,0.601662270564
87,0.607447550669
87.5,0.613193260389
88,0.618898496828
88.5,0.624562390999
89,0.630184107729
89.5,0.635762845529
90,0.641297836438
90.5,0.646788345835
91,0.652233672227
91.5,0.657633147013
92,0.66298613422
92.5,0.668292030218
93,0.673550263411
93.5,0.678760293911
94,0.683921613186
94.5,0.689033743693
95,0.694096238497
95.5,0.699108680859
96,0.70407068383
96.5,0.708981889806
97,0.713841970092
97.5,0.718650624436
98,0.723407580557
98.5,0.72811259367
99,0.732765445983
99.5,0.737365946203
100,0.741913929025
100.5,0.746409254609
101,0.75085180806
101.5,0.7552414989
102,0.759578260524
102.5,0.763862049667
103,0.768092845858
103.5,0.77227065087
104,0.776395488176
104.5,0.780467402391
105,0.784486458726
105.5,0.788452742429
