t,Result
0,0
0.5,8.47901859729e-36
1,1.50385826105e-27
1.5,4.33668716047e-23
2,4.85248362511e-20
2.5,9.04635302519e-18
3,5.34227349296e-16
3.5,1.44348104172e-14
4,2.23302855907e-13
4.5,2.27827335341e-12
5,1.68301634533e-11
5.5,9.60466084436e-11
6,4.43873248283e-10
6.5,1.7214392278e-09
7,5.75993271243e-09
7.5,1.69983621544e-08
8,4.50396395227e-08
8.5,1.0872220841e-07
9,2.42005359244e-07
9.5,5.01767433479e-07
10,9.77348180716e-07
10.5,1.80138483923e-06
11,3.16125344707e-06
11.5,5.31027779204e-06
12,8.57783094676e-06
12.5,1.3377526884e-05
13,2.02128610878e-05
13.5,2.96798769439e-05
14,4.24666738521e-05
14.5,5.93498023161e-05
15,8.11877876414e-05
15.5,0.000108912173624
16,0.000143516575825
16.5,0.000186044282701
17,0.000237574948631
17.5,0.000299210894826
18,0.000372063482062
18.5,0.000457239952203
19,0.000555831061586
19.5,0.000668899754581
20,0.000797471054639
20.5,0.000942523285741
21,0.0011049806811
21.5,0.00128570738893
22,0.00148550284696
22.5,0.00170509846753
23,0.00194515555321
23.5,0.00220626434694
24,0.00248894411082
24.5,0.00279364412244
25,0.00312074547545
25.5,0.00347056357275
26,0.00384335120344
26.5,0.00423930210026
27,0.00465855487965
27.5,0.00510119727409
28,0.00556727057305
28.5,0.00605677419678
29,0.00656967033425
29.5,0.00710588858436
30,0.00766533054611
30.5,0.00824787431053
31,0.00885337881367
31.5,0.0094816880156
32,0.0101326348764
32.5,0.0108060451053
33,0.0115017406635
33.5,0.0122195430061
34,0.012959276053
34.5,0.0137207688803
35,0.0145038581303
35.5,0.0153083901373
36,0.0161342227727
36.5,0.0169812270124
37,0.017849288233
37.5,0.0187383072447
38,0.01964820107
38.5,0.0205789034796
39,0.0215303652964
39.5,0.0225025544806
40,0.0234954560093
40.5,0.0245090715641
41,0.0255434190414
41.5,0.0265985318992
42,0.0276744583555
42.5,0.028771260452
43,0.029889012999
43.5,0.0310278024135
44,0.032187725467
44.5,0.0333688879538
45,0.0345714032959
45.5,0.0357953910946
46,0.0370409756423
46.5,0.0383082844066
47,0.039597446496
47.5,0.0409085911201
48,0.0422418460513
48.5,0.0435973361004
49,0.044975181612
49.5,0.046375496989
50,0.0477983892535
50.5,0.0492439566503
51,0.0507122872994
51.5,0.0522034579029
52,0.0537175325113
52.5,0.055254561353
53,0.0568145797311
53.5,0.058397606991
54,0.0600036455603
54.5,0.0616326800644
55,0.0632846765187
55.5,0.0649595815988
56,0.0666573219895
56.5,0.0683778038129
57,0.0701209121356
57.5,0.0718865105544
58,0.0736744408606
58.5,0.0754845227802
59,0.077316553791
59.5,0.0791703090129
60,0.0810455411705
60.5,0.0829419806266
61,0.084859335483
61.5,0.0867972917474
62,0.0887555135631
62.5,0.0907336434996
63,0.0927313029002
63.5,0.0947480922852
64,0.0967835918064
64.5,0.0988373617502
65,0.100908943088
65.5,0.102997858066
66,0.10510361084
66.5,0.107225688142
67,0.109363559981
67.5,0.111516680376
68,0.113684488117
68.5,0.115866407545
69,0.118061849363
69.5,0.120270211454
70,0.122490879726
70.5,0.12472322896
71,0.126966623677
71.5,0.129220419007
72,0.131483961564
72.5,0.13375659033
73,0.136037637527
73.5,0.138326429503
74,0.140622287601
74.5,0.142924529029
75,0.145232467722
75.5,0.147545415191
76,0.149862681368
76.5,0.152183575428
77,0.154507406604
77.5,0.156833484988
78,0.159161122308
78.5,0.161489632689
79,0.163818333402
79.5,0.166146545583
80,0.168473594934
80.5,0.170798812408
81,0.17312153486
81.5,0.175441105686
82,0.177756875428
82.5,0.180068202367
83,0.182374453076
83.5,0.184675002962
84,0.186969236773
84.5,0.189256549084
85,0.19153634476
85.5,0.193808039384
86,0.196071059669
86.5,0.198324843843
87,0.200568842
87.5,0.202802516439
88,0.205025341967
88.5,0.207236806183
89,0.209436409737
89.5,0.211623666561
90,0.213798104085
90.5,0.215959263417
91,0.218106699514
91.5,0.220239981322
92,0.222358691893
92.5,0.22446242849
93,0.226550802662
93.5,0.228623440301
94,0.230679981686
94.5,0.232720081499
95,0.234743408826
95.5,0.236749647144
96,0.238738494286
96.5,0.240709662394
97,0.242662877849
97.5,0.244597881194
98,0.246514427042
98.5,0.248412283962
99,0.250291234358
99.5,0.25215107434
100,0.253991613571
100.5,0.255812675115
101,0.257614095266
101.5,0.259395723371
102,0.261157421642
102.5,0.262899064962
103,0.264620540676
103.5,0.266321748386
104,0.268002599725
104.5,0.269663018136
105,0.271302938638
105.5,0.272922307591
106,0.274521082455
106.5,0.276099231542
107,0.277656733764
107.5,0.279193578387
108,0.280709764765
108.5,0.282205302091
109,0.283680209129
109.5,0.285134513952
110,0.286568253684
110.5,0.287981474229
111,0.289374230009
111.5,0.290746583697
112,0.292098605956
112.5,0.293430375169
113,0.294741977178
113.5,0.296033505023
114,0.297305058679
114.5,0.298556744797
115,0.299788676447
115.5,0.301000972862
116,0.302193759185
116.5,0.303367166223
117,0.304521330194
117.5,0.305656392485
118,0.306772499412
118.5,0.307869801982
119,0.308948455657
119.5,0.310008620127
120,0.311050459078
120.5,0.312074139976
121,0.313079833843
121.5,0.314067715044
122,0.315037961077
122.5,0.315990752366
123,0.316926272061
123.5,0.317844705837
124,0.318746241706
124.5,0.319631069825
125,0.320499382311
125.5,0.321351373067
126,0.322187237602
126.5,0.323007172862
127,0.323811377068
127.5,0.324600049551
128,0.325373390595
128.5,0.32613160129
129,0.326874883381
129.5,0.327603439126
130,0.32831747116
130.5,0.329017182358
131,0.329702775707
131.5,0.330374454185
132,0.331032420633
132.5,0.331676877648
133,0.332308027462
133.5,0.332926071842
134,0.333531211983
134.5,0.334123648408
135,0.334703580876
135.5,0.335271208287
136,0.335826728597
136.5,0.336370338733
137,0.336902234516
137.5,0.337422610581
138,0.337931660306
138.5,0.338429575745
139,0.338916547562
139.5,0.339392764964
140,0.339858415652
140.5,0.340313685756
141,0.340758759788
141.5,0.341193820591
142,0.341619049297
142.5,0.342034625274
143,0.342440726099
143.5,0.342837527508
144,0.343225203369
144.5,0.343603925647
145,0.343973864377
145.5,0.344335187631
146,0.344688061499
146.5,0.345032650066
147,0.345369115387
147.5,0.345697617476
148,0.346018314284
148.5,0.34633136169
149,0.346636913485
149.5,0.346935121367
150,0.347226134927
150.5,0.347510101648
151,0.347787166896
151.5,0.348057473922
152,0.348321163855
152.5,0.348578375708
153,0.348829246372
153.5,0.349073910627
154,0.349312501143
154.5,0.349545148481
155,0.349771981109
155.5,0.349993125401
156,0.350208705653
156.5,0.350418844086
157,0.350623660865
157.5,0.350823274105
158,0.351017799885
158.5,0.351207352266
159,0.351392043298
159.5,0.351571983042
160,0.351747279585
160.5,0.351918039051
161,0.352084365627
161.5,0.352246361575
162,0.352404127252
162.5,0.352557761129
163,0.352707359812
163.5,0.352853018058
164,0.3529948288
164.5,0.353132883166
165,0.353267270498
165.5,0.353398078377
166,0.353525392641
166.5,0.353649297409
167,0.353769875105
167.5,0.353887206476
168,0.354001370616
168.5,0.354112444992
169,0.354220505461
169.5,0.354325626299
170,0.354427880219
170.5,0.354527338397
171,0.354624070494
171.5,0.354718144678
172,0.354809627649
172.5,0.354898584662
173,0.354985079549
173.5,0.355069174743
174,0.355150931297
174.5,0.355230408914
175,0.355307665965
175.5,0.355382759512
176,0.35545574533
176.5,0.355526677932
177,0.35559561059
177.5,0.355662595356
178,0.355727683085
178.5,0.355790923456
179,0.355852364996
179.5,0.355912055097
180,0.355970040043
180.5,0.356026365025
181,0.356081074166
181.5,0.356134210541
182,0.356185816195
182.5,0.356235932166
183,0.356284598504
183.5,0.35633185429
184,0.356377737655
184.5,0.356422285802
185,0.356465535021
185.5,0.356507520712
186,0.356548277399
186.5,0.356587838752
187,0.356626237605
187.5,0.356663505968
188,0.356699675052
188.5,0.356734775282
189,0.356768836315
189.5,0.356801887055
190,0.356833955673
190.5,0.356865069619
191,0.356895255641
191.5,0.3569245398
192,0.356952947484
192.5,0.356980503424
193,0.357007231711
193.5,0.357033155804
194,0.357058298554
194.5,0.357082682209
195,0.357106328434
195.5,0.357129258322
196,0.357151492408
196.5,0.357173050681
197,0.357193952598
197.5,0.357214217096
198,0.357233862606
198.5,0.357252907062
199,0.357271367917
199.5,0.357289262151
200,0.357306606282
200.5,0.357323416383
201,0.357339708087
201.5,0.357355496598
202,0.357370796706
202.5,0.357385622795
203,0.357399988849
203.5,0.35741390847
204,0.357427394881
204.5,0.357440460938
205,0.357453119139
205.5,0.357465381634
206,0.357477260232
206.5,0.357488766412
207,0.357499911329
207.5,0.357510705824
208,0.357521160432
208.5,0.357531285388
209,0.35754109064
209.5,0.357550585849
210,0.357559780402
210.5,0.357568683418
211,0.357577303754
211.5,0.357585650014
212,0.357593730551
212.5,0.357601553481
213,0.357609126683
213.5,0.357616457808
214,0.357623554285
214.5,0.357630423328
215,0.357637071938
215.5,0.357643506913
216,0.357649734852
216.5,0.35765576216
217,0.357661595055
217.5,0.357667239568
218,0.357672701556
218.5,0.357677986701
219,0.357683100516
219.5,0.357688048352
220,0.357692835398
220.5,0.357697466692
221,0.357701947118
221.5,0.357706281415
222,0.357710474181
222.5,0.357714529874
223,0.35771845282
223.5,0.357722247212
224,0.357725917118
224.5,0.357729466484
225,0.357732899132
225.5,0.357736218773
226,0.357739429002
226.5,0.357742533305
227,0.357745535063
227.5,0.357748437551
228,0.357751243946
228.5,0.357753957325
229,0.357756580674
229.5,0.357759116884
230,0.357761568756
230.5,0.357763939003
231,0.35776623025
231.5,0.357768445021
232,0.357770585728
232.5,0.357772654619
233,0.357774653692
233.5,0.357776584532
234,0.357778448036
234.5,0.357780244008
235,0.357781970632
235.5,0.357783623873
236,0.357785196961
236.5,0.357786680165
237,0.3577880611
237.5,0.357789325739
238,0.357790460142
238.5,0.357791452683
239,0.357792296303
239.5,0.357792990257
240,0.35779354085
240.5,0.357793960961
241,0.357794268447
241.5,0.357794483865
242,0.357794628062
242.5,0.357794720148
243,0.357794776185
243.5,0.357794808646
244,0.357794826531
244.5,0.357794835898
245,0.357794840559
245.5,0.357794842761
246,0.357794843749
246.5,0.357794844169
247,0.357794844339
247.5,0.357794844404
248,0.357794844428
248.5,0.357794844436
249,0.357794844439
249.5,0.35779484444
250,0.35779484444
250.5,0.35779484444
251,0.35779484444
251.5,0.35779484444
252,0.35779484444
252.5,0.35779484444
253,0.35779484444
253.5,0.35779484444
254,0.35779484444
254.5,0.35779484444
255,0.35779484444
255.5,0.35779484444
256,0.35779484444
256.5,0.35779484444
257,0.35779484444
257.5,0.35779484444
258,0.35779484444
258.5,0.35779484444
259,0.35779484444
259.5,0.35779484444
260,0.35779484444
260.5,0.35779484444
261,0.35779484444
261.5,0.35779484444
262,0.35779484444
262.5,0.35779484444
263,0.35779484444
263.5,0.35779484444
264,0.35779484444
264.5,0.35779484444
265,0.35779484444
265.5,0.35779484444
266,0.35779484444
266.5,0.35779484444
267,0.35779484444
267.5,0.35779484444
268,0.35779484444
268.5,0.35779484444
269,0.35779484444
269.5,0.35779484444
270,0.35779484444
270.5,0.35779484444
271,0.35779484444
271.5,0.35779484444
272,0.35779484444
272.5,0.35779484444
273,0.35779484444
273.5,0.35779484444
274,0.35779484444
274.5,0.35779484444
275,0.35779484444
275.5,0.35779484444
276,0.35779484444
276.5,0.35779484444
277,0.35779484444
277.5,0.35779484444
278,0.35779484444
278.5,0.35779484444
279,0.35779484444
279.5,0.35779484444
280,0.35779484444
280.5,0.35779484444
281,0.35779484444
281.5,0.35779484444
282,0.35779484444
282.5,0.35779484444
283,0.35779484444
283.5,0.35779484444
284,0.35779484444
284.5,0.35779484444
285,0.35779484444
285.5,0.35779484444
286,0.35779484444
286.5,0.35779484444
287,0.35779484444
287.5,0.35779484444
288,0.35779484444
288.5,0.35779484444
289,0.35779484444
289.5,0.35779484444
290,0.35779484444
290.5,0.35779484444
291,0.35779484444
291.5,0.35779484444
292,0.35779484444
292.5,0.35779484444
293,0.35779484444
293.5,0.35779484444
294,0.35779484444
294.5,0.35779484444
295,0.35779484444
295.5,0.35779484444
296,0.35779484444
296.5,0.35779484444
297,0.35779484444
297.5,0.35779484444
298,0.35779484444
298.5,0.35779484444
299,0.35779484444
299.5,0.35779484444
300,0.35779484444
