t,Result
0,0
0.5,4.27327522676e-26
1,3.19355524091e-20
1.5,3.82934517252e-17
2,4.1974840354e-15
2.5,1.31778631782e-13
3,1.89152946176e-12
3.5,1.58897470014e-11
4,9.10312157703e-11
4.5,3.94711126979e-10
5,1.39715061135e-09
5.5,4.27381673162e-09
6,1.17867495357e-08
6.5,3.01727691874e-08
7,7.29286139531e-08
7.5,1.67738751186e-07
8,3.67989975171e-07
8.5,7.70226189632e-07
9,1.53844228888e-06
9.5,2.93535008793e-06
10,5.35979054794e-06
10.5,9.38850520488e-06
11,1.58196934651e-05
11.5,2.57153065624e-05
12,4.04389272924e-05
12.5,6.16863479833e-05
13,9.15065200092e-05
13.5,0.000132311304147
14,0.000186873289639
14.5,0.000258311768184
15,0.000350067667226
15.5,0.000465868813272
16,0.000609687286908
16.5,0.000785690846786
17,0.00099819045743
17.5,0.00125158588328
18,0.00155031114157
18.5,0.00189878137204
19,0.00230134241176
19.5,0.00276222408275
20,0.00328549792766
20.5,0.00387503987781
21,0.00453449811639
21.5,0.00526726621183
22,0.00607646144336
22.5,0.00696490812102
23,0.00793512561322
23.5,0.00898932073232
24,0.0101293840895
24.5,0.011356890009
25,0.0126730995869
25.5,0.014078966484
26,0.0155751450589
26.5,0.0171620004671
27,0.0188396203764
27.5,0.0206078279777
28,0.0224661959975
28.5,0.0244140614491
29,0.0264505408849
29.5,0.0285745459431
30,0.0307847990049
30.5,0.0330798488043
31,0.0354580858547
31.5,0.0379177575767
32,0.0404569830312
32.5,0.0430737671779
33,0.0457660145963
33.5,0.0485315426177
34,0.0513680938315
34.5,0.0542733479375
35,0.0572449329282
35.5,0.0602804355895
36,0.0633774113199
36.5,0.0665333932704
37,0.069745900816
37.5,0.0730124473701
38,0.0763305475625
38.5,0.0796977237979
39,0.0831115122202
39.5,0.0865694681065
40,0.0900691707164
40.5,0.0936082276243
41,0.0971842785631
41.5,0.100794998806
42,0.104438102115
42.5,0.108111343287
43,0.111812520317
43.5,0.11553947622
44,0.119290100519
44.5,0.123062330442
45,0.126854151843
45.5,0.130663599874
46,0.134488759427
46.5,0.138327765374
47,0.142178802622
47.5,0.146040105998
48,0.14990995999
48.5,0.153786698361
49,0.157668703639
49.5,0.161554406519
50,0.165442285168
50.5,0.16933086447
51,0.173218715198
51.5,0.177104453146
52,0.180986738212
52.5,0.184864273459
53,0.188735804144
53.5,0.192600116743
54,0.196456037952
54.5,0.200302433704
55,0.204138208169
55.5,0.207962302776
56,0.21177369524
56.5,0.215571398605
57,0.219354460301
57.5,0.223121961226
58,0.22687301485
58.5,0.230606766342
59,0.234322391715
59.5,0.238019097016
60,0.241696117518
60.5,0.245352716965
61,0.248988186822
61.5,0.252601845571
62,0.25619303802
62.5,0.259761134651
63,0.263305530985
63.5,0.266825646978
64,0.270320926442
64.5,0.27379083649
65,0.277234866998
65.5,0.280652530104
66,0.284043359712
66.5,0.287406911026
67,0.290742760103
67.5,0.294050503418
68,0.297329757452
68.5,0.300580158296
69,0.303801361261
69.5,0.306993040517
70,0.310154888727
70.5,0.31328661671
71,0.3163879531
71.5,0.319458644023
72,0.322498452783
72.5,0.325507159549
73,0.328484561059
73.5,0.331430470321
74,0.334344716325
74.5,0.33722714376
75,0.340077612729
75.5,0.342895998479
76,0.345682191121
76.5,0.348436095362
77,0.351157630235
77.5,0.353846728832
78,0.356503338036
78.5,0.359127418258
79,0.36171894317
79.5,0.364277899441
80,0.366804286474
80.5,0.369298116139
81,0.37175941251
81.5,0.374188211599
82,0.376584561091
82.5,0.378948520077
83,0.381280158788
83.5,0.383579558327
84,0.385846810401
84.5,0.388082017054
85,0.390285290395
85.5,0.392456752332
86,0.394596534298
86.5,0.396704776986
87,0.398781630075
87.5,0.400827251959
88,0.40284180948
88.5,0.404825477657
89,0.406778439415
89.5,0.408700885317
90,0.410593013295
90.5,0.412455028385
91,0.414287142458
91.5,0.416089573954
92,0.417862547623
92.5,0.419606294257
93,0.421321050435
93.5,0.42300705826
94,0.424664565106
94.5,0.426293823361
95,0.427895090177
95.5,0.429468627222
96,0.431014700431
96.5,0.432533579764
97,0.434025538966
97.5,0.435490855327
98,0.436929809451
98.5,0.438342685027
99,0.439729768597
99.5,0.441091349336
100,0.442427718832
100.5,0.443739170872
101,0.445026001228
101.5,0.446288507449
102,0.447526988664
102.5,0.448741745373
103,0.449933079261
103.5,0.451101293005
104,0.452246690086
104.5,0.453369574609
105,0.45447025113
105.5,0.455549024476
106,0.456606199584
106.5,0.457642081335
107,0.458656974398
107.5,0.459651183071
108,0.46062501114
108.5,0.461578761725
109,0.46251273715
109.5,0.463427238799
110,0.464322566993
110.5,0.465199020858
111,0.466056898208
111.5,0.466896495425
112,0.467718107348
112.5,0.468522027166
113,0.469308546312
113.5,0.470077954368
114,0.470830538966
114.5,0.471566585699
115,0.472286378035
115.5,0.472990197235
116,0.473678322275
116.5,0.47435102977
117,0.475008593906
117.5,0.475651286374
118,0.476279376306
118.5,0.476893130217
119,0.477492811949
119.5,0.478078682622
120,0.478651000583
120.5,0.479210021365
121,0.479755997643
121.5,0.480289179195
122,0.480809812872
122.5,0.481318142563
123,0.481814409166
123.5,0.482298850564
124,0.482771701603
124.5,0.483233194068
125,0.483683556671
125.5,0.484123015032
126,0.484551791669
126.5,0.484970105988
127,0.485378174277
127.5,0.485776209696
128,0.486164422282
128.5,0.48654301894
129,0.486912203452
129.5,0.487272176473
130,0.487623135544
130.5,0.487965275092
131,0.488298786443
131.5,0.488623857833
132,0.488940674416
132.5,0.489249418283
133,0.489550268471
133.5,0.489843400987
134,0.490128988819
134.5,0.490407201959
135,0.490678207423
135.5,0.490942169271
136,0.491199248633
136.5,0.491449603726
137,0.491693389887
137.5,0.491930759593
138,0.492161862487
138.5,0.492386845409
139,0.492605852422
139.5,0.49281902484
140,0.493026501256
140.5,0.493228417576
141,0.493424907047
141.5,0.493616100286
142,0.493802125316
142.5,0.493983107593
143,0.494159170042
143.5,0.494330433086
144,0.494497014684
144.5,0.494659030358
145,0.494816593231
145.5,0.494969814059
146,0.495118801262
146.5,0.495263660963
147,0.495404497019
147.5,0.495541411054
148,0.495674502496
148.5,0.495803868608
149,0.495929604524
149.5,0.496051803282
150,0.496170555861
150.5,0.496285951207
151,0.496398076278
151.5,0.496507016066
152,0.496612853641
152.5,0.496715670177
153,0.496815544987
153.5,0.496912555559
154,0.497006777583
154.5,0.49709828499
155,0.497187149978
155.5,0.497273443051
156,0.497357233041
156.5,0.497438587151
157,0.497517570977
157.5,0.497594248543
158,0.497668682331
158.5,0.49774093331
159,0.497811060968
159.5,0.497879123339
160,0.497945177036
160.5,0.498009277274
161,0.498071477906
161.5,0.498131831443
162,0.49819038909
162.5,0.498247200765
163,0.498302315133
163.5,0.49835577963
164,0.498407640489
164.5,0.498457942764
165,0.498506730361
165.5,0.498554046058
166,0.498599931532
166.5,0.498644427382
167,0.498687573155
167.5,0.498729407368
168,0.498769967532
168.5,0.498809290173
169,0.498847410858
169.5,0.498884364213
170,0.498920183948
170.5,0.498954902878
171,0.498988552938
171.5,0.499021165214
172,0.499052769954
172.5,0.499083396592
173,0.499113073767
173.5,0.499141829342
174,0.499169690421
174.5,0.49919668337
175,0.499222833833
175.5,0.49924816675
176,0.499272706377
176.5,0.499296476297
177,0.499319499441
177.5,0.499341798105
178,0.499363393963
178.5,0.499384308083
179,0.499404560944
179.5,0.499424172451
180,0.499443161945
180.5,0.499461548225
181,0.499479349556
181.5,0.499496583684
182,0.49951326785
182.5,0.499529418805
183,0.499545052818
183.5,0.499560185693
184,0.49957483278
184.5,0.499589008985
185,0.499602728784
185.5,0.499616006235
186,0.499628854986
186.5,0.499641288288
187,0.499653319006
187.5,0.499664959628
188,0.499676222276
188.5,0.499687118717
189,0.49969766037
189.5,0.499707858318
190,0.499717723315
190.5,0.499727265797
191,0.49973649589
191.5,0.499745423418
192,0.499754057912
192.5,0.499762408617
193,0.499770484503
193.5,0.499778294268
194,0.499785846351
194.5,0.499793148934
195,0.499800209952
195.5,0.499807037102
196,0.499813637845
196.5,0.499820019416
197,0.499826188829
197.5,0.499832152885
198,0.499837918175
198.5,0.499843491091
199,0.499848877827
199.5,0.499854084386
200,0.499859116585
200.5,0.499863980066
201,0.49986868029
201.5,0.499873222555
202,0.49987761199
202.5,0.499881853565
203,0.499885952099
203.5,0.499889912255
204,0.499893738554
204.5,0.499897435374
205,0.499901006957
205.5,0.499904457408
206,0.499907790704
206.5,0.499911010692
207,0.499914121086
207.5,0.499917125447
208,0.499920027146
208.5,0.499922829254
209,0.499925534346
209.5,0.499928144134
210,0.499930658879
210.5,0.499933076553
211,0.49993539183
211.5,0.499937595108
212,0.499939671947
212.5,0.499941603371
213,0.499943367428
213.5,0.49994494207
214,0.499946308975
214.5,0.499947457447
215,0.499948387336
215.5,0.499949110083
216,0.499949647519
216.5,0.499950028776
217,0.499950286188
217.5,0.499950451276
218,0.499950551687
218.5,0.499950609533
219,0.499950641065
219.5,0.499950657313
220,0.499950665225
220.5,0.499950668862
221,0.499950670441
221.5,0.499950671087
222,0.499950671337
222.5,0.499950671428
223,0.499950671459
223.5,0.499950671469
224,0.499950671473
224.5,0.499950671473
225,0.499950671474
225.5,0.499950671474
226,0.499950671474
226.5,0.499950671474
227,0.499950671474
227.5,0.499950671474
228,0.499950671474
228.5,0.499950671474
229,0.499950671474
229.5,0.499950671474
230,0.499950671474
230.5,0.499950671474
231,0.499950671474
231.5,0.499950671474
232,0.499950671474
232.5,0.499950671474
233,0.499950671474
233.5,0.499950671474
234,0.499950671474
234.5,0.499950671474
235,0.499950671474
235.5,0.499950671474
236,0.499950671474
236.5,0.499950671474
237,0.499950671474
237.5,0.499950671474
238,0.499950671474
238.5,0.499950671474
239,0.499950671474
239.5,0.499950671474
240,0.499950671474
240.5,0.499950671474
241,0.499950671474
241.5,0.499950671474
242,0.499950671474
242.5,0.499950671474
243,0.499950671474
243.5,0.499950671474
244,0.499950671474
244.5,0.499950671474
245,0.499950671474
245.5,0.499950671474
246,0.499950671474
246.5,0.499950671474
247,0.499950671474
247.5,0.499950671474
248,0.499950671474
248.5,0.499950671474
249,0.499950671474
249.5,0.499950671474
250,0.499950671474
250.5,0.499950671474
251,0.499950671474
251.5,0.499950671474
252,0.499950671474
252.5,0.499950671474
253,0.499950671474
253.5,0.499950671474
254,0.499950671474
254.5,0.499950671474
255,0.499950671474
255.5,0.499950671474
256,0.499950671474
256.5,0.499950671474
257,0.499950671474
257.5,0.499950671474
258,0.499950671474
258.5,0.499950671474
259,0.499950671474
259.5,0.499950671474
260,0.499950671474
260.5,0.499950671474
261,0.499950671474
261.5,0.499950671474
262,0.499950671474
262.5,0.499950671474
263,0.499950671474
263.5,0.499950671474
264,0.499950671474
264.5,0.499950671474
265,0.499950671474
265.5,0.499950671474
266,0.499950671474
266.5,0.499950671474
267,0.499950671474
267.5,0.499950671474
268,0.499950671474
268.5,0.499950671474
269,0.499950671474
269.5,0.499950671474
270,0.499950671474
270.5,0.499950671474
271,0.499950671474
271.5,0.499950671474
272,0.499950671474
272.5,0.499950671474
273,0.499950671474
273.5,0.499950671474
274,0.499950671474
274.5,0.499950671474
275,0.499950671474
275.5,0.499950671474
276,0.499950671474
276.5,0.499950671474
277,0.499950671474
277.5,0.499950671474
278,0.499950671474
278.5,0.499950671474
279,0.499950671474
279.5,0.499950671474
280,0.499950671474
280.5,0.499950671474
281,0.499950671474
281.5,0.499950671474
282,0.499950671474
282.5,0.499950671474
283,0.499950671474
283.5,0.499950671474
284,0.499950671474
284.5,0.499950671474
285,0.499950671474
285.5,0.499950671474
286,0.499950671474
286.5,0.499950671474
287,0.499950671474
287.5,0.499950671474
288,0.499950671474
288.5,0.499950671474
289,0.499950671474
289.5,0.499950671474
290,0.499950671474
290.5,0.499950671474
291,0.499950671474
291.5,0.499950671474
292,0.499950671474
292.5,0.499950671474
293,0.499950671474
293.5,0.499950671474
294,0.499950671474
294.5,0.499950671474
295,0.499950671474
295.5,0.499950671474
296,0.499950671474
296.5,0.499950671474
297,0.499950671474
297.5,0.499950671474
298,0.499950671474
298.5,0.499950671474
299,0.499950671474
299.5,0.499950671474
300,0.499950671474
