t,Result
0,0
3,3.05608793045e-12
6,5.98178346333e-10
9,3.30867264113e-09
12,6.85017363501e-09
15,9.88505920191e-09
18,1.22016537679e-08
21,1.39264597203e-08
24,1.52051448797e-08
27,1.61525047768e-08
30,1.6854333755e-08
33,1.73742620589e-08
36,1.77594344668e-08
39,1.80447772081e-08
42,1.82561643103e-08
45,1.84127637272e-08
48,1.85287754286e-08
51,1.86147190108e-08
54,1.86783875825e-08
57,1.87255544204e-08
60,1.87604964734e-08
63,1.87863821829e-08
66,1.88055587882e-08
69,1.88197651668e-08
72,1.88302895109e-08
75,1.88380861367e-08
78,1.88438620193e-08
81,1.88481408983e-08
84,1.88513107698e-08
87,1.88536590684e-08
90,1.88553987308e-08
93,1.88566875043e-08
96,1.88576422094e-08
99,1.88583047915e-08
102,1.8858451468e-08
105,1.8858452326e-08
108,1.88584523261e-08
111,1.88584523261e-08
114,1.88584523261e-08
117,1.88584523261e-08
120,1.88584523261e-08
123,1.88584523261e-08
126,1.88584523261e-08
129,1.88584523261e-08
132,1.88584523261e-08
135,1.88584523261e-08
138,1.88584523261e-08
141,1.88584523261e-08
144,1.88584523261e-08
147,1.88584523261e-08
150,1.88584523261e-08
153,1.88584523261e-08
156,1.88584523261e-08
159,1.88584523261e-08
162,1.88584523261e-08
165,1.88584523261e-08
168,1.88584523261e-08
171,1.88584523261e-08
174,1.88584523261e-08
177,1.88584523261e-08
180,1.88584523261e-08
183,1.88584523261e-08
186,1.88584523261e-08
189,1.88584523261e-08
192,1.88584523261e-08
195,1.88584523261e-08
198,1.88584523261e-08
201,1.88584523261e-08
204,1.88584523261e-08
207,1.88584523261e-08
210,1.88584523261e-08
213,1.88584523261e-08
216,1.88584523261e-08
219,1.88584523261e-08
222,1.88584523261e-08
225,1.88584523261e-08
228,1.88584523261e-08
231,1.88584523261e-08
234,1.88584523261e-08
237,1.88584523261e-08
240,1.88584523261e-08
243,1.88584523261e-08
246,1.88584523261e-08
249,1.88584523261e-08
252,1.88584523261e-08
255,1.88584523261e-08
258,1.88584523261e-08
261,1.88584523261e-08
264,1.88584523261e-08
267,1.88584523261e-08
270,1.88584523261e-08
273,1.88584523261e-08
276,1.88584523261e-08
279,1.88584523261e-08
282,1.88584523261e-08
285,1.88584523261e-08
288,1.88584523261e-08
291,1.88584523261e-08
294,1.88584523261e-08
297,1.88584523261e-08
300,1.88584523261e-08
