t,Result
0,0
3,1.18985891178e-15
6,4.5016134749e-14
9,1.56895994045e-13
12,2.74856711751e-13
15,3.69787956871e-13
18,4.41223259497e-13
21,4.94273592361e-13
24,5.33587325919e-13
27,5.62712842799e-13
30,5.84289655971e-13
33,6.0027416018e-13
36,6.1211577274e-13
39,6.20888255129e-13
42,6.27387069927e-13
45,6.32201510342e-13
48,6.35768135524e-13
51,6.38410356445e-13
54,6.40367761846e-13
57,6.41817843433e-13
60,6.42892090294e-13
63,6.43687911942e-13
66,6.44277471119e-13
69,6.447142273e-13
72,6.45037784236e-13
75,6.45277481111e-13
78,6.45455052922e-13
81,6.45586601356e-13
84,6.45684054833e-13
87,6.45756250144e-13
90,6.45809733746e-13
93,6.45849355367e-13
96,6.45878531621e-13
99,6.45891496976e-13
102,6.45891875757e-13
105,6.45891875799e-13
108,6.45891875799e-13
111,6.45891875799e-13
114,6.45891875799e-13
117,6.45891875799e-13
120,6.45891875799e-13
123,6.45891875799e-13
126,6.45891875799e-13
129,6.45891875799e-13
132,6.45891875799e-13
135,6.45891875799e-13
138,6.45891875799e-13
141,6.45891875799e-13
144,6.45891875799e-13
147,6.45891875799e-13
150,6.45891875799e-13
153,6.45891875799e-13
156,6.45891875799e-13
159,6.45891875799e-13
162,6.45891875799e-13
165,6.45891875799e-13
168,6.45891875799e-13
171,6.45891875799e-13
174,6.45891875799e-13
177,6.45891875799e-13
180,6.45891875799e-13
183,6.45891875799e-13
186,6.45891875799e-13
189,6.45891875799e-13
192,6.45891875799e-13
195,6.45891875799e-13
198,6.45891875799e-13
201,6.45891875799e-13
204,6.45891875799e-13
207,6.45891875799e-13
210,6.45891875799e-13
213,6.45891875799e-13
216,6.45891875799e-13
219,6.45891875799e-13
222,6.45891875799e-13
225,6.45891875799e-13
228,6.45891875799e-13
231,6.45891875799e-13
234,6.45891875799e-13
237,6.45891875799e-13
240,6.45891875799e-13
243,6.45891875799e-13
246,6.45891875799e-13
249,6.45891875799e-13
252,6.45891875799e-13
255,6.45891875799e-13
258,6.45891875799e-13
261,6.45891875799e-13
264,6.45891875799e-13
267,6.45891875799e-13
270,6.45891875799e-13
273,6.45891875799e-13
276,6.45891875799e-13
279,6.45891875799e-13
282,6.45891875799e-13
285,6.45891875799e-13
288,6.45891875799e-13
291,6.45891875799e-13
294,6.45891875799e-13
297,6.45891875799e-13
300,6.45891875799e-13
