t,Result
0,0
3,1.46972534535e-13
6,4.69096295785e-12
9,1.5883002896e-11
12,2.77559505215e-11
15,3.73924205956e-11
18,4.46690545596e-11
21,5.00778259506e-11
24,5.40867940472e-11
27,5.70569195092e-11
30,5.92572621735e-11
33,6.08873178377e-11
36,6.20948929189e-11
39,6.29894865535e-11
42,6.3652217819e-11
45,6.4143181216e-11
48,6.45068958462e-11
51,6.47763422714e-11
54,6.49759530926e-11
57,6.5123828426e-11
60,6.52333771674e-11
63,6.53145328711e-11
66,6.53746544951e-11
69,6.54191936896e-11
72,6.54521891365e-11
75,6.54766327647e-11
78,6.54947410498e-11
81,6.55081559974e-11
84,6.5518094035e-11
87,6.55254563144e-11
90,6.5530910425e-11
93,6.55349509292e-11
96,6.55379284775e-11
99,6.55392850495e-11
102,6.55393280596e-11
105,6.5539328065e-11
108,6.5539328065e-11
111,6.5539328065e-11
114,6.5539328065e-11
117,6.5539328065e-11
120,6.5539328065e-11
123,6.5539328065e-11
126,6.5539328065e-11
129,6.5539328065e-11
132,6.5539328065e-11
135,6.5539328065e-11
138,6.5539328065e-11
141,6.5539328065e-11
144,6.5539328065e-11
147,6.5539328065e-11
150,6.5539328065e-11
153,6.5539328065e-11
156,6.5539328065e-11
159,6.5539328065e-11
162,6.5539328065e-11
165,6.5539328065e-11
168,6.5539328065e-11
171,6.5539328065e-11
174,6.5539328065e-11
177,6.5539328065e-11
180,6.5539328065e-11
183,6.5539328065e-11
186,6.5539328065e-11
189,6.5539328065e-11
192,6.5539328065e-11
195,6.5539328065e-11
198,6.5539328065e-11
201,6.5539328065e-11
204,6.5539328065e-11
207,6.5539328065e-11
210,6.5539328065e-11
213,6.5539328065e-11
216,6.5539328065e-11
219,6.5539328065e-11
222,6.5539328065e-11
225,6.5539328065e-11
228,6.5539328065e-11
231,6.5539328065e-11
234,6.5539328065e-11
237,6.5539328065e-11
240,6.5539328065e-11
243,6.5539328065e-11
246,6.5539328065e-11
249,6.5539328065e-11
252,6.5539328065e-11
255,6.5539328065e-11
258,6.5539328065e-11
261,6.5539328065e-11
264,6.5539328065e-11
267,6.5539328065e-11
270,6.5539328065e-11
273,6.5539328065e-11
276,6.5539328065e-11
279,6.5539328065e-11
282,6.5539328065e-11
285,6.5539328065e-11
288,6.5539328065e-11
291,6.5539328065e-11
294,6.5539328065e-11
297,6.5539328065e-11
300,6.5539328065e-11
