t,Result
0,0
3,3.19462111175e-11
6,6.00132446473e-09
9,3.40126845604e-08
12,7.13673232068e-08
15,1.03619880623e-07
18,1.28285483506e-07
21,1.46656570717e-07
24,1.60276696374e-07
27,1.70367724354e-07
30,1.77843427429e-07
33,1.8338157141e-07
36,1.87484329912e-07
39,1.90523728204e-07
42,1.92775369842e-07
45,1.94443426994e-07
48,1.95679154125e-07
51,1.965946033e-07
54,1.97272784728e-07
57,1.97775193888e-07
60,1.98147387747e-07
63,1.9842311574e-07
66,1.98627380061e-07
69,1.98778702791e-07
72,1.98890805428e-07
75,1.98973853103e-07
78,1.99035376334e-07
81,1.99080953865e-07
84,1.9911471853e-07
87,1.99139732009e-07
90,1.9915826245e-07
93,1.99171989234e-07
96,1.99180629174e-07
99,1.99181307717e-07
102,1.99181307791e-07
105,1.99181307791e-07
108,1.99181307791e-07
111,1.99181307791e-07
114,1.99181307791e-07
117,1.99181307791e-07
120,1.99181307791e-07
123,1.99181307791e-07
126,1.99181307791e-07
129,1.99181307791e-07
132,1.99181307791e-07
135,1.99181307791e-07
138,1.99181307791e-07
141,1.99181307791e-07
144,1.99181307791e-07
147,1.99181307791e-07
150,1.99181307791e-07
153,1.99181307791e-07
156,1.99181307791e-07
159,1.99181307791e-07
162,1.99181307791e-07
165,1.99181307791e-07
168,1.99181307791e-07
171,1.99181307791e-07
174,1.99181307791e-07
177,1.99181307791e-07
180,1.99181307791e-07
183,1.99181307791e-07
186,1.99181307791e-07
189,1.99181307791e-07
192,1.99181307791e-07
195,1.99181307791e-07
198,1.99181307791e-07
201,1.99181307791e-07
204,1.99181307791e-07
207,1.99181307791e-07
210,1.99181307791e-07
213,1.99181307791e-07
216,1.99181307791e-07
219,1.99181307791e-07
222,1.99181307791e-07
225,1.99181307791e-07
228,1.99181307791e-07
231,1.99181307791e-07
234,1.99181307791e-07
237,1.99181307791e-07
240,1.99181307791e-07
243,1.99181307791e-07
246,1.99181307791e-07
249,1.99181307791e-07
252,1.99181307791e-07
255,1.99181307791e-07
258,1.99181307791e-07
261,1.99181307791e-07
264,1.99181307791e-07
267,1.99181307791e-07
270,1.99181307791e-07
273,1.99181307791e-07
276,1.99181307791e-07
279,1.99181307791e-07
282,1.99181307791e-07
285,1.99181307791e-07
288,1.99181307791e-07
291,1.99181307791e-07
294,1.99181307791e-07
297,1.99181307791e-07
300,1.99181307791e-07
