t,Result
0,0
3,1.58396736281e-10
6,1.2601446417e-08
9,5.29521919547e-08
12,9.9240789701e-08
15,1.37480534318e-07
18,1.66447738356e-07
21,1.87989152598e-07
24,2.03956493102e-07
27,2.15786293794e-07
30,2.24550109121e-07
33,2.31042510454e-07
36,2.3585220026e-07
39,2.39415306152e-07
42,2.42054919922e-07
45,2.44010393899e-07
48,2.45459044652e-07
51,2.46532231524e-07
54,2.47327267914e-07
57,2.47916245357e-07
60,2.48352570579e-07
63,2.48675808253e-07
66,2.48915268612e-07
69,2.49092665209e-07
72,2.4922408384e-07
75,2.49321441157e-07
78,2.49393565231e-07
81,2.49446996059e-07
84,2.4948657859e-07
87,2.49515902051e-07
90,2.49537625404e-07
93,2.49553705775e-07
96,2.49561997935e-07
99,2.49562229962e-07
102,2.49562229965e-07
105,2.49562229965e-07
108,2.49562229965e-07
111,2.49562229965e-07
114,2.49562229965e-07
117,2.49562229965e-07
120,2.49562229965e-07
123,2.49562229965e-07
126,2.49562229965e-07
129,2.49562229965e-07
132,2.49562229965e-07
135,2.49562229965e-07
138,2.49562229965e-07
141,2.49562229965e-07
144,2.49562229965e-07
147,2.49562229965e-07
150,2.49562229965e-07
153,2.49562229965e-07
156,2.49562229965e-07
159,2.49562229965e-07
162,2.49562229965e-07
165,2.49562229965e-07
168,2.49562229965e-07
171,2.49562229965e-07
174,2.49562229965e-07
177,2.49562229965e-07
180,2.49562229965e-07
183,2.49562229965e-07
186,2.49562229965e-07
189,2.49562229965e-07
192,2.49562229965e-07
195,2.49562229965e-07
198,2.49562229965e-07
201,2.49562229965e-07
204,2.49562229965e-07
207,2.49562229965e-07
210,2.49562229965e-07
213,2.49562229965e-07
216,2.49562229965e-07
219,2.49562229965e-07
222,2.49562229965e-07
225,2.49562229965e-07
228,2.49562229965e-07
231,2.49562229965e-07
234,2.49562229965e-07
237,2.49562229965e-07
240,2.49562229965e-07
243,2.49562229965e-07
246,2.49562229965e-07
249,2.49562229965e-07
252,2.49562229965e-07
255,2.49562229965e-07
258,2.49562229965e-07
261,2.49562229965e-07
264,2.49562229965e-07
267,2.49562229965e-07
270,2.49562229965e-07
273,2.49562229965e-07
276,2.49562229965e-07
279,2.49562229965e-07
282,2.49562229965e-07
285,2.49562229965e-07
288,2.49562229965e-07
291,2.49562229965e-07
294,2.49562229965e-07
297,2.49562229965e-07
300,2.49562229965e-07
